BUDGET_ID,PROJECT_ID,BUDGET_CATEGORY,BUDGET_PERIOD,PLANNED_AMOUNT,COMMITTED_AMOUNT,SPENT_AMOUNT,VARIANCE_AMOUNT,VARIANCE_PCT,STATUS,NOTES
BUD001,P001,Engineering Labor,Q1-Q2 2026,1500000,1400000,1200000,300000,20%,UNDERSPEND,Hiring delays
BUD002,P001,Materials & Components,Q1-Q2 2026,2000000,2100000,1950000,50000,2.5%,ON_TRACK,Within margin
BUD003,P001,Testing & Validation,Q1-Q2 2026,800000,850000,720000,80000,10%,UNDERSPEND,Test delays
BUD004,P001,Tools & Equipment,Q1-Q2 2026,400000,420000,380000,20000,5%,ON_TRACK,CFD licenses
BUD005,P001,Other,Q1-Q2 2026,300000,320000,250000,50000,16.7%,UNDERSPEND,Travel impact
BUD001T,P001,Q1-Q2 TOTAL,Q1-Q2 2026,5000000,5090000,4500000,500000,10%,UNDERSPEND,On track
BUD006,P002,Engineering Labor,Q1-Q2 2026,800000,780000,750000,50000,6.25%,ON_TRACK,Core team
BUD007,P002,Materials & Components,Q1-Q2 2026,1200000,1250000,1180000,20000,1.6%,ON_TRACK,Supply managed
BUD008,P002,Testing & Validation,Q1-Q2 2026,600000,640000,580000,20000,3.3%,ON_TRACK,On schedule
BUD009,P002,Tools & Equipment,Q1-Q2 2026,200000,220000,210000,10000,4.7%,ON_TRACK,On budget
BUD010,P002,Travel & Contingency,Q1-Q2 2026,200000,210000,180000,30000,14.3%,UNDERSPEND,Low travel
BUD002T,P002,Q1-Q2 TOTAL,Q1-Q2 2026,3000000,3100000,1900000,1100000,36.7%,UNDERSPEND,Ahead
BUD011,P003,Engineering Labor,Q2-Q3 2026,600000,580000,320000,280000,46.7%,UNDERSPEND,Consultant delay
BUD012,P003,Testing & Validation,Q2-Q3 2026,500000,450000,180000,320000,64%,UNDERSPEND,Testing blocked
BUD013,P003,Compliance & Audit,Q2-Q3 2026,300000,250000,100000,200000,66.7%,UNDERSPEND,Delayed
BUD003T,P003,Q2-Q3 TOTAL,Q2-Q3 2026,2000000,1800000,1000000,1000000,50%,UNDERSPEND,At risk
BUD014,P004,Engineering Labor,Q1 2026,300000,280000,270000,30000,10%,ON_TRACK,Completed
BUD015,P004,Testing & Validation,Q1 2026,150000,140000,130000,20000,13.3%,ON_TRACK,Completed
BUD016,P004,Contingency,Q1 2026,100000,50000,30000,70000,70%,UNDERSPEND,Not needed
BUD004T,P004,TOTAL,Q1 2026,1500000,1420000,1300000,200000,13.3%,ON_TRACK,Completed
BUD017,P005,Security Engineering,Q2-Q4 2026,800000,700000,150000,650000,81.2%,UNDERSPEND,Early phase
BUD018,P005,Third-party Audit,Q2-Q4 2026,400000,350000,100000,300000,75%,UNDERSPEND,Planned
BUD019,P005,Compliance & Testing,Q2-Q4 2026,600000,450000,0,600000,100%,UNDERSPEND,Not started
BUD005T,P005,Q2-Q4 TOTAL,Q2-Q4 2026,2500000,1900000,250000,2250000,90%,UNDERSPEND,Early phase
BUD009,P002,Tools & Equipment,Q1-Q2 2026,250000,260000,240000,10000,4%,ON_TRACK,"Within budget"
BUD002T,P002,Q1-Q2 TOTAL,Q1-Q2 2026,2850000,2930000,2750000,100000,3.5%,ON_TRACK,"Efficient execution"
BUD010,P003,Engineering Labor,Q1-Q2 2026,600000,590000,540000,60000,10%,UNDERSPEND,"Safety engineering resource shortage"
BUD011,P003,Materials & Components,Q1-Q2 2026,800000,820000,750000,50000,6.25%,UNDERSPEND,"Design not yet finalized"
BUD012,P003,Testing & Validation,Q1-Q2 2026,400000,420000,300000,100000,25%,UNDERSPEND,"Safety test lab availability issues"
BUD013,P003,Tools & Equipment,Q1-Q2 2026,200000,210000,210000,0,0%,ON_TRACK,"Certification tools procured"
BUD003T,P003,Q1-Q2 TOTAL,Q1-Q2 2026,2000000,2040000,1800000,200000,10%,UNDERSPEND,"Safe spend; risk of insufficient budget for Q3"
BUD014,P004,Engineering Labor,Q1 2026,500000,480000,480000,20000,4%,ON_TRACK,"Project completed on budget"
BUD015,P004,Materials & Components,Q1 2026,600000,620000,620000,-20000,-3.2%,OVERSPEND,"Data storage expansion required"
BUD016,P004,Testing & Validation,Q1 2026,300000,300000,300000,0,0%,ON_TRACK,"On budget"
BUD017,P004,Other,Q1 2026,100000,120000,120000,-20000,-16.7%,OVERSPEND,"Extended support period"
BUD004T,P004,Q1 TOTAL,Q1 2026,1500000,1520000,1520000,-20000,-1.3%,OVERSPEND,"Minor overrun"
BUD018,P005,Engineering Labor,Q2-Q3 2026,1000000,950000,750000,250000,25%,UNDERSPEND,"Hiring in progress for Q3"
BUD019,P005,Materials & Components,Q2-Q3 2026,600000,650000,400000,200000,33.3%,UNDERSPEND,"Procurement deferred to Q3"
BUD020,P005,Testing & Validation,Q2-Q3 2026,500000,550000,280000,220000,44%,UNDERSPEND,"Third-party audit scheduled Q3"
BUD021,P005,Tools & Equipment,Q2-Q3 2026,300000,280000,150000,150000,50%,UNDERSPEND,"Security tools delayed"
BUD022,P005,Consulting & External,Q2-Q3 2026,100000,100000,50000,50000,50%,UNDERSPEND,"Consulting engagement starting Q3"
BUD005T,P005,Q2-Q3 TOTAL,Q2-Q3 2026,2500000,2530000,1630000,870000,34.8%,UNDERSPEND,"Conservative spending until Q3 priorities confirmed"
