MILESTONE_ID,PROJECT_ID,MILESTONE_NAME,PLANNED_DATE,ACTUAL_DATE,BASELINE_DATE,STATUS,COMPLETION_PCT,OWNER,CRITICAL_PATH,DEPENDENCIES,NOTES
M001,P001,Requirements Baseline Complete,2026-03-15,2026-03-18,2026-03-15,COMPLETED,100%,John Smith,YES,,3-day delay
M002,P001,Design Review Phase Gate,2026-04-15,2026-04-28,2026-04-15,COMPLETED,100%,Maria Garcia,YES,M001,Additional analysis needed
M003,P001,Component Procurement Release,2026-04-20,2026-04-22,2026-04-20,COMPLETED,100%,Tech Resource Pool,YES,M002,2-day delay
M004,P001,Prototype Build Complete,2026-05-15,2026-05-20,2026-05-15,COMPLETED,100%,Maria Garcia,YES,M003,5-day delay
M005,P001,First Hardware Test,2026-05-25,2026-05-28,2026-05-25,IN_PROGRESS,75%,Michael Brown,YES,M004,Investigating anomalies
M006,P001,Design Closure & Sign-off,2026-06-15,TBD,2026-06-15,AT_RISK,10%,Maria Garcia,YES,M005,18 days behind schedule
M007,P001,Production Release,2026-08-01,TBD,2026-08-01,AT_RISK,0%,John Smith,YES,M006,High risk forecast
M008,P002,System Architecture Review,2026-03-01,2026-03-01,2026-03-01,COMPLETED,100%,David Chen,YES,,On schedule
M009,P002,Software Development Complete,2026-05-01,2026-05-05,2026-05-01,COMPLETED,100%,Sarah Williams,YES,M008,4-day delay
M010,P002,Integration Testing Start,2026-05-10,2026-05-12,2026-05-10,COMPLETED,100%,David Chen,YES,M009,2-day delay
M011,P002,System Validation Gate,2026-06-15,TBD,2026-06-15,AT_RISK,20%,David Chen,YES,M010,Testing blocked
M012,P002,Production Ready Gate,2026-07-15,TBD,2026-07-15,AT_RISK,0%,Sarah Williams,YES,M011,Risk of slip
M013,P003,Requirements Review,2026-04-15,2026-04-18,2026-04-15,COMPLETED,100%,Patricia Williams,YES,,3-day delay
M014,P003,Safety FMEA Complete,2026-05-15,TBD,2026-05-15,IN_PROGRESS,45%,Patricia Williams,YES,M013,Consultant delay
M015,P003,Functional Safety Plan,2026-05-20,TBD,2026-05-20,PLANNED,0%,Patricia Williams,YES,M014,Blocked by consultant
M016,P003,Design Review Phase Gate,2026-06-01,TBD,2026-06-01,PLANNED,0%,Patricia Williams,YES,M015,Cannot start
M017,P003,Q2 Certification Gate,2026-06-30,TBD,2026-06-30,AT_RISK,0%,Patricia Williams,YES,M016,Very high risk
M018,P004,Data Migration Start,2026-02-01,2026-02-01,2026-02-01,COMPLETED,100%,Jennifer Lee,YES,,On time
M019,P004,Data Validation Complete,2026-03-15,2026-03-20,2026-03-15,COMPLETED,100%,Jennifer Lee,YES,M018,5-day delay
M020,P004,User Acceptance Testing,2026-03-20,2026-03-25,2026-03-20,COMPLETED,100%,Jennifer Lee,YES,M019,5-day delay
M021,P004,Production Cutover,2026-04-01,2026-04-10,2026-04-01,COMPLETED,100%,Jennifer Lee,YES,M020,9-day delay
M022,P005,Cybersecurity Assessment,2026-05-01,2026-05-05,2026-05-01,COMPLETED,100%,Robert Johnson,YES,,4-day delay
M023,P005,Security Hardening Phase 1,2026-06-01,TBD,2026-06-01,IN_PROGRESS,30%,Robert Johnson,YES,M022,On track
M024,P005,Phase 2 Planning,2026-07-01,TBD,2026-07-01,PLANNED,0%,Robert Johnson,YES,M023,Pending Phase 1
M025,P005,Final Validation,2026-08-01,TBD,2026-08-01,PLANNED,0%,Robert Johnson,YES,M024,On schedule
M010,P002,Factory Acceptance Test,2026-05-20,2026-05-22,2026-05-20,COMPLETED,100%,Sarah Williams,YES,M009,2-day delay; minor test setup issues
M011,P002,Vehicle Integration Start,2026-05-23,2026-05-25,2026-05-23,IN_PROGRESS,25%,David Chen,YES,M010,On schedule
M012,P002,Release Candidate Build,2026-06-10,TBD,2026-06-10,PLANNED,0%,Sarah Williams,YES,M011,Dependent on CAN bus EMI fix (D008)
M013,P002,Production Release,2026-06-30,TBD,2026-06-30,PLANNED,0%,David Chen,YES,M012,Forecast confidence: HIGH
M014,P003,Safety Concept Review,2026-04-01,2026-04-05,2026-04-01,COMPLETED,100%,Patricia Williams,YES,,4-day delay; stakeholder review
M015,P003,ASIL Decomposition Complete,2026-04-30,TBD,2026-04-30,AT_RISK,15%,Patricia Williams,YES,M014,Currently 28 days behind; FMEA gap analysis ongoing
M016,P003,Safety Verification Test Plan,2026-05-15,TBD,2026-05-15,BLOCKED,0%,Patricia Williams,YES,M015,Blocked by M015; no start date
M017,P003,Safety Validation Complete,2026-06-30,TBD,2026-06-30,PLANNED,0%,Patricia Williams,YES,M016,At risk due to upstream delays
M018,P004,Data Migration Complete,2026-03-31,2026-04-10,2026-03-31,COMPLETED,100%,Jennifer Lee,YES,,10-day delay; data validation issues
M019,P004,User Acceptance Test,2026-04-15,2026-04-25,2026-04-15,COMPLETED,100%,Jennifer Lee,YES,M018,10-day delay; customer feedback incorporation
M020,P004,Production Cutover,2026-04-30,2026-05-05,2026-04-30,COMPLETED,100%,Jennifer Lee,NO,M019,5-day delay; support readiness
M021,P005,Security Architecture Review,2026-04-01,2026-04-05,2026-04-01,COMPLETED,100%,Robert Johnson,YES,,4-day delay
M022,P005,Threat Modeling Complete,2026-05-01,2026-05-08,2026-05-01,COMPLETED,100%,Robert Johnson,YES,M021,7-day delay; additional threat scenarios identified
M023,P005,Security Testing Phase 1,2026-05-15,2026-05-20,2026-05-15,IN_PROGRESS,60%,Lisa Anderson,YES,M022,On track for completion 2026-06-01
M024,P005,Remediation Complete,2026-06-15,TBD,2026-06-15,PLANNED,0%,Robert Johnson,YES,M023,Dependent on Phase 1 completion
M025,P005,Security Certification,2026-07-01,TBD,2026-07-01,PLANNED,0%,Robert Johnson,NO,M024,Forecast confidence: MEDIUM
M_P001_4305,P001,Sprint 1 Delivery,2026-07-05,,,Pending,,,No,,
M_P001_5274,P001,Sprint 2 Delivery,2026-06-26,,,Pending,,,No,,
M_P001_1954,P001,Sprint 3 Delivery,2026-07-07,,,Pending,,,No,,
M_P001_9638,P001,Sprint 4 Delivery,2026-07-27,,,Pending,,,Yes,,
M_P001_9821,P001,Sprint 5 Delivery,2026-07-02,,,Pending,,,No,,
M_P002_4040,P002,Sprint 1 Delivery,2026-08-08,,,Pending,,,Yes,,
M_P002_6217,P002,Sprint 2 Delivery,2026-07-26,,,Pending,,,Yes,,
M_P002_9843,P002,Sprint 3 Delivery,2026-07-16,,,Pending,,,No,,
M_P002_9159,P002,Sprint 4 Delivery,2026-07-11,,,Pending,,,No,,
M_P002_9748,P002,Sprint 5 Delivery,2026-07-14,,,Pending,,,No,,
M_P003_2063,P003,Sprint 1 Delivery,2026-07-02,,,Pending,,,Yes,,
M_P003_5191,P003,Sprint 2 Delivery,2026-08-02,,,Pending,,,No,,
M_P003_1211,P003,Sprint 3 Delivery,2026-06-30,,,Pending,,,No,,
M_P003_7416,P003,Sprint 4 Delivery,2026-07-05,,,Pending,,,Yes,,
M_P003_5662,P003,Sprint 5 Delivery,2026-07-13,,,Pending,,,Yes,,
M_P004_3392,P004,Sprint 1 Delivery,2026-06-25,,,Pending,,,No,,
M_P004_2537,P004,Sprint 2 Delivery,2026-06-27,,,Pending,,,Yes,,
M_P004_1239,P004,Sprint 3 Delivery,2026-07-12,,,Pending,,,No,,
M_P004_3602,P004,Sprint 4 Delivery,2026-07-18,,,Pending,,,Yes,,
M_P004_5523,P004,Sprint 5 Delivery,2026-08-11,,,Pending,,,No,,
M_P005_7075,P005,Sprint 1 Delivery,2026-07-27,,,Pending,,,No,,
M_P005_3935,P005,Sprint 2 Delivery,2026-07-04,,,Pending,,,Yes,,
M_P005_8790,P005,Sprint 3 Delivery,2026-07-02,,,Pending,,,No,,
M_P005_5674,P005,Sprint 4 Delivery,2026-06-20,,,Pending,,,No,,
M_P005_2717,P005,Sprint 5 Delivery,2026-07-13,,,Pending,,,Yes,,
