PROJECT_ID,METRIC_NAME,METRIC_CATEGORY,CURRENT_VALUE,BASELINE_VALUE,TARGET_VALUE,UNIT,TREND,STATUS,CONFIDENCE,DATE_MEASURED,NOTES
P001,Requirements Total,Requirements,247,250,250,Count,STABLE,GREEN,HIGH,2026-05-28,"All requirements baselined"
P001,Requirements Approved,Requirements,247,250,250,%,STABLE,GREEN,HIGH,2026-05-28,"100% approved"
P001,Requirement Changes,Requirements,8,3,<5,%,UP,YELLOW,MEDIUM,2026-05-28,"3 post-baseline changes due to supplier inputs"
P001,Test Cases Total,Testing,1205,1100,1200,Count,UP,GREEN,HIGH,2026-05-28,"Test plan finalized"
P001,Test Cases Passed,Testing,892,NULL,1150,%,UP,YELLOW,MEDIUM,2026-05-28,"74% executed; 892 passed to date"
P001,Test Cases Failed,Testing,45,NULL,<20,%,UP,RED,MEDIUM,2026-05-28,"18.2% fail rate; defect investigation ongoing"
P001,Defects Open,Quality,28,0,<5,Count,UP,RED,HIGH,2026-05-28,"Safety-related and design defects blocking release"
P001,Defects Critical,Quality,3,0,0,Count,UP,RED,HIGH,2026-05-28,"Thermal simulation accuracy issues"
P002,Requirements Total,Requirements,156,160,160,Count,STABLE,GREEN,HIGH,2026-05-28,"EV program requirements stable"
P002,Test Automation Coverage,Testing,78,75,85,%,UP,GREEN,HIGH,2026-05-28,"Continuous integration pipeline mature"
P002,Defects Open,Quality,4,0,<3,Count,UP,YELLOW,MEDIUM,2026-05-28,"Minor UI issues; release-candidate quality"
P003,ASIL Coverage,Functional Safety,95,85,100,%,UP,YELLOW,MEDIUM,2026-05-28,"Safety validation in progress"
P003,Safety Test Cases,Functional Safety,342,NULL,350,Count,UP,GREEN,HIGH,2026-05-28,"ISO 26262 traceability 92% complete"
P004,Defect Reopen Rate,Quality,8,NULL,<5,%,DOWN,CLOSED,HIGH,2026-04-10,"Legacy system migration completed"
P005,Security Threats Analyzed,Cybersecurity,28,NULL,40,Count,UP,GREEN,MEDIUM,2026-05-28,"STRIDE threat model 70% complete"
P005,Security Findings Open,Cybersecurity,5,NULL,0,Count,UP,YELLOW,MEDIUM,2026-05-28,"Remediation in progress"
P004,Burnout Trajectory,Resources,18,5,<10,Engineers,UP,RED,HIGH,2026-06-15,"Extended safety certification phase causing team burnout"
